Name used,Year,Latitude,Longitude,Catalog No.,Information
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,8500,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1950,-14.22,40.77,8489,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1956,-14.22,40.77,8475,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,RUSI 8505,Pinda Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,RUSI 8475,Pinda Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,RUSI 8704,Pinda Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,RUSI 8500,Pinda Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,RUSI 8489,Pinda Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007750,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1950,-14.22,40.77,SAIAB-007755,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007758,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007759,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1950,-14.22,40.77,SAIAB-007764,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007916,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007917,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007749,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007750,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007917,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007749,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,SAIAB-007758,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1950,-14.22,40.77,SAIAB-007755,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1950,-14.22,40.77,SAIAB-007764,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1956,-14.22,40.77,SAIAB-007916,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-14.22,40.77,SAIAB-007759,Pinda Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1986,-11.73,43.22,30941,Off Iconi 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1986,-11.73,43.22,SAIAB-021416,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1986,-11.73,43.22,SAIAB-021416,Off Iconi 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-23.33,43.52,MNHN 1992-0869,tul?ar 
,,,,,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-23.33,43.52,1992-0869,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1967,-9.4,46.21,268913.5127,"Indian Ocean: Aldabra Atoll, small channel south of La Passe Du Bois leading from main lagoon to reef flat adjacent to sea (one of Western Channels). "
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-9.83,47,MNHN 1954-0129,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-9.83,47,1954-0129,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.62,55.23,34513,Reunion Island 
,,,,,Portal: GBIF. Source: NCL
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1954,-4.62,55.45,SAIAB-007918,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1954,-4.62,55.45,SAIAB-007919,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,,-4.62,55.45,SAIAB-007918,Mahe Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-4.62,55.45,SAIAB-007919,Mahe Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-4.62,55.45,RUSI 8705,Mahe Island 
,,,,,Portal: GBIF. Source: RUSI
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-4.62,55.45,8705,Mahe Island 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-21.12,55.58,A-7505,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-21.12,55.58,MNHN A-7505,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.33,57.58,A-7010,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.33,57.58,A-7005,Portal: GBIF. Source: MNHN
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1971,-20.3,57.58,SAIAB-000964,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,1976,-20.3,57.58,SAIAB-006354,Portal: OBIS. Source: SAIAB
Paracanthurus hepatus,,-20.3,57.58,SAIAB-000964,Mauritius 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.3,57.58,SAIAB-006354,Mauritius 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.33,57.58,MNHN A-7005,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.33,57.58,MNHN A-7010,Portal: GBIF. Source: mnhn
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.3,57.58,5671,Mauritius 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,-20.3,57.58,1104,Mauritius 
,,,,,Portal: GBIF. Source: SAIAB
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1958,3.25,73,27536,"INDISCHER OZEAN, N-, MALEDIVEN-ARCHIPEL*, MILADUMMADULU-ATOLL , "
,,,,,Portal: GBIF. Source: SMF
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1958,3.25,73,26272,"INDISCHER OZEAN, N-, MALEDIVEN ARCHIPEL*, RASDU-ATOLL , W- EINFAHRT "
,,,,,Portal: GBIF. Source: SMF
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,8.57,81.23,4315,"INDISCHER OZEAN, N-, SRI LANKA, O- (früher CEYLON), TRINCOMALEE* , "
,,,,,Portal: GBIF. Source: SMF
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,10,93,34513,Portal: OBIS. Source: NCL
Paracanthurus hepatus,1958,8,93.5,28503,"INDISCHER OZEAN, NO-, NIKOBAREN-INSELN*, GREAT NICOBAR-INSEL, "
,,,,,Portal: GBIF. Source: SMF
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1988,4.64,119.45,309627.5203,Sibutu Island. 
,,,,,Portal: GBIF. Source: USNM
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,16.43,119.92,BML-1989-009,Binabalian Bol. Pang 
,,,,,Portal: GBIF. Source: BML-1989-009
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,,22.48,120.46,NMMBA04401,"Donggang, Pingtung "
,,,,,Portal: GBIF. Source: NMMBA04401
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1972,21.98,120.71,1270,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1972,21.98,120.71,1273,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
,,,,,Data from GBIF data index - original values.
Paracanthurus hepatus,1972,21.98,120.71,1277,"HUNG-CHAI-KENG, HENG-CHUN "
,,,,,Portal: GBIF. Source: NTU
