date,location,species,batch_id,dph,stand_dph,speed,time_sec,dist_cm,TL,SL,BD,PA
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,4,13927,55708,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,6,3987,23922,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,8,1102,8816,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,10,369,3690,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,2,7560,15120,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,4,9180,36720,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,6,7237,43422,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,8,2214,17712,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,10,478,4780,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,2,19020,38040,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,4,25560,102240,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,6,10758,64548,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,8,2860,22880,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,10,529,5290,nd,nd,nd,nd
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,nd,nd,nd,5.58,4.75,1.67,5.84
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,nd,nd,nd,6.21,5.19,1.73,6.52
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,nd,nd,nd,6.25,5.25,1.75,6.76
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,nd,nd,nd,6.34,5.3,1.72,6.76
2015/03/22,Boston University Lab,Amphiprion percula,C 2:4,4,0.5,nd,nd,nd,5.81,4.89,1.66,5.69
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,4,33470,133880,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,4,57522,230088,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,4,85626,342504,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,6,649320,3895920,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,6,835800,5014800,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,6,908460,5450760,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,10,468420,4684200,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,10,629280,6292800,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,10,641160,6411600,nd,nd,nd,nd
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,nd,nd,nd,6.87,5.54,2.06,9.28
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,nd,nd,nd,7.38,5.87,2.2,11.8
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,nd,nd,nd,7.54,6.13,2.16,11.49
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,nd,nd,nd,6.71,5.38,2.02,9.32
2015/03/26,Boston University Lab,Amphiprion percula,C 2:4,8,1,nd,nd,nd,7.23,5.84,2.07,10.15
2015/03/28,Boston University Lab,Elacatinus lori,200,30,1,2,3565,7130,7.68,7.07,1.2,4.93
2015/03/28,Boston University Lab,Elacatinus lori,200,30,1,4,1020,4080,nd,nd,nd,nd
2015/03/28,Boston University Lab,Elacatinus lori,200,30,1,6,30,180,nd,nd,nd,nd
2015/03/28,Boston University Lab,Elacatinus lori,200,30,1,8,14,112,nd,nd,nd,nd
2015/03/28,Boston University Lab,Elacatinus lori,200,30,1,10,20,200,8.83,7.64,1.34,6.56
2015/03/30,Boston University Lab,Elacatinus lori,46,10,0.33,2,1485,2970,nd,nd,nd,nd
2015/03/30,Boston University Lab,Elacatinus lori,46,10,0.33,4,210,840,4.83,4.44,0.63,1.92
2015/03/30,Boston University Lab,Elacatinus lori,46,10,0.33,6,75,450,nd,nd,nd,nd
2015/03/30,Boston University Lab,Elacatinus lori,46,10,0.33,8,36,288,nd,nd,nd,nd
2015/03/30,Boston University Lab,Elacatinus lori,46,10,0.33,10,0,0,nd,nd,nd,nd
2015/04/09,Boston University Lab,Elacatinus lori,46,20,0.67,2,7201,14402,nd,nd,nd,nd
